,name,club,team,year,height,weight,age,tournament,NHL
159,VASILEVSKI Andrei,Salavat Yulayev Ufa,rus,2014,1.92,201,19.45205479452055,1,0.0
160,NYFFELER Melvin,ZSC Lions Zurich,sui,2014,1.78,172,19.057534246575344,1,0.0
161,BALTISBERGER Phil,Guelph Storm,sui,2014,1.85,201,18.147945205479452,1,0.0
162,MULLER Mirco,Everett Silvertips,sui,2014,1.90,176,18.797260273972604,1,0.0
163,FRICK Lukas,Kloten Flyers,sui,2014,1.88,194,19.30958904109589,1,0.0
164,JECKER Benoit,EHC Biel,sui,2014,1.86,176,19.56986301369863,1,0.0
165,KREIS Samuel,SC Bern,sui,2014,1.81,181,19.75890410958904,1,0.0
166,PRAPLAN Vincent,North Bay Battalion,sui,2014,1.81,185,19.575342465753426,1,0.0
167,ROUILLER Anthony,EHC Biel,sui,2014,1.74,163,19.893150684931506,1,0.0
168,SCHMUTZ Julian,SC Bern,sui,2014,1.74,172,19.854794520547944,1,0.0
169,HERZOG Fabrice,Quebec Remparts,sui,2014,1.88,190,19.076712328767123,1,0.0
170,ZANGGER Sandro,ZSC Lions Zurich,sui,2014,1.83,192,19.361643835616437,1,0.0
171,SIEBER Lukas,HC Davos,sui,2014,1.84,185,19.876712328767123,1,0.0
172,SCHMUTZ Flavio,VIK Vasteras,sui,2014,1.85,183,19.246575342465754,1,0.0
173,GUNTERN Daniel,GCK Lions Zurich,sui,2014,1.80,165,18.682191780821917,1,0.0
174,MULLER Marco,SC Bern,sui,2014,1.73,179,19.958904109589042,1,0.0
175,DUNNER Nico,EV Zug,sui,2014,1.82,187,19.71780821917808,1,0.0
176,FIALA Kevin,HV71 Jonkoping,sui,2014,1.75,165,17.457534246575342,1,0.0
177,SIMION Dario,HC Lugano,sui,2014,1.90,192,19.627397260273973,1,0.0
178,FUCHS Jason,Rouyn-Noranda Huskies,sui,2014,1.75,165,18.312328767123287,1,0.0
179,RATHGEB Yannick,Plymouth Whalers,sui,2014,1.83,187,18.202739726027396,1,0.0
180,BALMELLI Lukas,HC Lugano,sui,2014,1.85,187,20.008219178082193,1,0.0
181,PASCHOUD Claude,HC Davos,sui,2014,1.92,190,19.76164383561644,1,0.0
182,ROCHOW Sascha,SC Bern,sui,2014,1.79,181,19.263013698630136,1,0.0
183,JUVONEN Janne,Pelicans Lahti,fin,2014,1.83,172,19.26027397260274,1,0.0
184,LEHTONEN Mikko,TuTo Turku,fin,2014,1.83,194,19.972602739726028,1,0.0
185,RISTOLAINEN Rasmus,Buffalo Sabres,fin,2014,1.92,220,19.194520547945206,1,1.0
186,LINDELL Esa,Jokerit Helsinki,fin,2014,1.90,194,19.624657534246577,1,0.0
187,MAENALANEN Saku,Karpat Oulu,fin,2014,1.89,181,19.60821917808219,1,0.0
188,HONKA Julius,Swift Current Broncos,fin,2014,1.81,179,18.09315068493151,1,0.0
189,IKONEN Juuso,JYP Jyvaskyla,fin,2014,1.73,170,19.008219178082193,1,0.0
190,NIKKO Joni,Lukko Rauma,fin,2014,1.87,192,19.602739726027398,1,0.0
191,POKKA Ville,Karpat Oulu,fin,2014,1.83,196,19.594520547945205,1,0.0
192,LESKINEN Ville,Karpat Oulu,fin,2014,1.86,185,19.882191780821916,1,0.0
193,NATTINEN Topi,JYP Jyvaskyla,fin,2014,1.78,172,19.767123287671232,1,0.0
194,VAINIO Juuso,HPK Hameenlinna,fin,2014,1.85,190,19.334246575342465,1,0.0
195,KINNUNEN Saku,KalPa Kuopio,fin,2014,1.78,179,19.008219178082193,1,0.0
196,VAINONEN Mikko,Kingston Frontenacs,fin,2014,1.90,220,19.73972602739726,1,0.0
197,TERAVAINEN Teuvo,Jokerit Helsinki,fin,2014,1.80,176,19.32054794520548,1,0.0
198,MUSTONEN Aleksi,Jokerit Helsinki,fin,2014,1.75,161,18.778082191780822,1,0.0
199,IKONEN Henri,Kingston Frontenacs,fin,2014,1.83,194,19.723287671232878,1,0.0
200,HAAPALA Henrik,Tappara Tampere,fin,2014,1.75,154,19.854794520547944,1,0.0
201,KULMALA Rasmus,TPS Turku,fin,2014,1.73,161,19.545205479452054,1,0.0
202,LEHKONEN Artturi,KalPa Kuopio,fin,2014,1.80,159,18.50958904109589,1,0.0
203,RAUHALA Otto,Tappara Tampere,fin,2014,1.80,194,18.736986301369864,1,0.0
204,HUSSO Ville,IFK Helsinki,fin,2014,1.90,205,18.915068493150685,1,0.0
205,SAROS Juuse,HPK Hameenlinna,fin,2014,1.80,176,18.71780821917808,1,0.0
206,SVENDSEN Joachim,Lorenskog IK,nor,2014,1.82,183,19.224657534246575,1,0.0
207,NORSTEBO Mattias,Brynas Gavle,nor,2014,1.79,176,18.594520547945205,1,0.0
208,VAAKANAINEN Martin,Tingsryds AIF,nor,2014,1.93,216,19.9013698630137,1,0.0
209,LYNGSETH Tallak,Islanders Hockey Club Nashua,nor,2014,1.88,194,19.71232876712329,1,0.0
210,KLAVESTAD Andreas,Frisk Asker,nor,2014,1.82,183,18.104109589041094,1,0.0
211,LESUND Erlend,Sparta Sarpsborg,nor,2014,1.89,198,19.07123287671233,1,0.0
212,HOFF Ludvig,Valerenga Oslo,nor,2014,1.80,190,17.221917808219178,1,0.0
213,FISCHER Magnus,Valerenga Oslo,nor,2014,1.82,185,19.660273972602738,1,0.0
214,HAUGEN Magnus,Storhamar Dragons,nor,2014,1.94,209,18.386301369863013,1,0.0
215,RASCH Christoffer,Mora IK,nor,2014,1.96,198,19.895890410958906,1,0.0
216,JOHNSGARD Tim Robin,Mariestad BoIS,nor,2014,1.87,176,19.964383561643835,1,0.0
217,SVENDSEN Didrik,Sparta Sarpsborg,nor,2014,1.90,231,18.96712328767123,1,0.0
218,TONJUM Jens,Vaxjo Lakers,nor,2014,1.83,194,18.64109589041096,1,0.0
219,NILSEN Magnus,Sparta Sarpsborg,nor,2014,1.82,176,19.112328767123287,1,0.0
220,RONNILD Martin,Brynas Gavle,nor,2014,1.83,187,17.95068493150685,1,0.0
221,NIELSEN Simen,Lorenskog IK,nor,2014,1.76,187,19.167123287671235,1,0.0
222,SOBERG Markus,Frolunda Gothenburg,nor,2014,1.84,174,18.70958904109589,1,0.0
223,SIMONSEN Christer,Manglerud Star Oslo,nor,2014,1.84,179,19.78082191780822,1,0.0
224,HAUKELAND Henrik,Stjernen Fredrikstad,nor,2014,1.86,183,19.084931506849315,1,0.0
225,HENRIKSEN Anders,Stavanger Oilers,nor,2014,1.77,179,18.895890410958906,1,0.0
226,MEDBY Endre,Lillehammer IK,nor,2014,1.79,192,19.986301369863014,1,0.0
227,KARTERUD Jorgen,Sault Ste. Marie Greyhounds,nor,2014,1.93,198,19.671232876712327,1,0.0
0,NIKU Sami,JYP Jyvaskyla,fin,2015,1.83,176,18.23835616438356,1,0.0
1,ILVONEN Mika,St. Cloud State,fin,2015,1.73,163,19.85753424657534,1,0.0
2,MAKELA Aleksi,Ilves Tampere,fin,2015,1.88,207,19.90958904109589,1,0.0
3,LYYTINEN Joonas,KalPa Kuopio,fin,2015,1.85,154,19.75890410958904,1,0.0
4,MAKINEN Atte,Tappara Tampere,fin,2015,1.91,203,19.64109589041096,1,0.0
5,HONKA Julius,Texas Stars,fin,2015,1.79,176,19.09315068493151,2,0.0
6,IKONEN Juuso,JYP Jyvaskyla,fin,2015,1.75,176,20.008219178082193,2,0.0
7,BJORNINEN Hannes,Pelicans Lahti,fin,2015,1.85,187,19.216438356164385,1,0.0
8,PULJUJARVI Jesse,Karpat Oulu,fin,2015,1.90,196,16.665753424657535,1,0.0
9,RANTANEN Mikko,TPS Turku,fin,2015,1.93,209,18.186301369863013,1,0.0
10,KALAPUDAS Antti,Karpat Oulu,fin,2015,1.82,161,18.457534246575342,1,0.0
11,OJAMAKI Niko,Assat Pori,fin,2015,1.81,176,19.556164383561644,1,0.0
12,MUSTONEN Aleksi,Ilves Tampere,fin,2015,1.75,165,19.778082191780822,2,0.0
13,HINTZ Roope,Ilves Tampere,fin,2015,1.87,183,18.134246575342466,1,0.0
14,LINTUNIEMI Alex,Ottawa 67s,fin,2015,1.92,231,19.28767123287671,1,0.0
15,KAPANEN Kasperi,KalPa Kuopio,fin,2015,1.83,181,18.454794520547946,1,0.0
16,AHO Sebastian,Karpat Oulu,fin,2015,1.81,172,17.446575342465753,1,0.0
17,VAHATALO Julius,TPS Turku,fin,2015,1.97,198,19.791780821917808,1,0.0
18,LEHKONEN Artturi,Frolunda Gothenburg,fin,2015,1.81,163,19.50958904109589,2,0.0
19,RAUHALA Otto,Tappara Tampere,fin,2015,1.80,201,19.736986301369864,2,0.0
20,HUSSO Ville,IFK Helsinki,fin,2015,1.90,207,19.915068493150685,2,0.0
21,SAROS Juuse,HPK Hameenlinna,fin,2015,1.80,176,19.71780821917808,2,0.0
22,COMRIE Eric,Tri-City Americans,can,2015,1.85,170,19.504109589041096,1,0.0
23,HICKETTS Joe,Victoria Royals,can,2015,1.73,185,18.673972602739727,1,0.0
24,HEATHERINGTON Dillon,Swift Current Broncos,can,2015,1.93,205,19.663013698630138,1,0.0
25,BOWEY Madison,Kelowna Rockets,can,2015,1.88,203,19.70958904109589,1,0.0
26,MORIN Samuel,Rimouski Oceanic,can,2015,2.01,209,19.487671232876714,1,0.0
27,THEODORE Shea,Seattle Thunderbirds,can,2015,1.85,185,19.427397260273974,1,0.0
28,MORRISSEY Josh,Prince Albert Raiders,can,2015,1.83,185,19.778082191780822,2,0.0
29,POINT Brayden,Moose Jaw Warriors,can,2015,1.75,161,18.816438356164383,1,0.0
30,DUCLAIR Anthony,New York Rangers,can,2015,1.80,183,19.364383561643837,1,1.0
31,DOMI Max,London Knights,can,2015,1.75,185,19.84931506849315,1,0.0
32,McDAVID Connor,Erie Otters,can,2015,1.85,187,17.97808219178082,2,0.0
33,VIRTANEN Jake,Calgary Hitmen,can,2015,1.83,207,18.386301369863013,1,0.0
34,PETAN Nic,Portland Winterhawks,can,2015,1.75,172,19.794520547945204,2,0.0
35,PAUL Nick,North Bay Battalion,can,2015,1.91,220,19.8,1,0.0
36,RITCHIE Nick,Peterborough Petes,can,2015,1.91,227,19.087671232876712,1,0.0
37,GAUTHIER Fredrik,Rimouski Oceanic,can,2015,1.93,216,19.698630136986303,1,0.0
38,REINHART Sam,Kootenay Ice,can,2015,1.85,185,19.167123287671235,2,0.0
39,NURSE Darnell,Sault Ste. Marie Greyhounds,can,2015,1.85,185,19.92054794520548,1,0.0
40,LAZAR Curtis,Ottawa Senators,can,2015,1.83,205,19.926027397260274,2,1.0
41,CROUSE Lawson,Kingston Frontenacs,can,2015,1.91,201,17.53698630136986,1,0.0
42,FABBRI Robby,Guelph Storm,can,2015,1.78,179,18.956164383561642,1,0.0
43,FUCALE Zachary,Quebec Remparts,can,2015,1.88,181,19.610958904109587,2,0.0
44,HANIFIN Noah,Boston College,usa,2015,1.91,205,17.945205479452056,1,0.0
45,McCOSHEN Ian,Boston College,usa,2015,1.91,205,19.421917808219177,2,0.0
46,BUTCHER Will,University of Denver,usa,2015,1.78,201,20.0,2,0.0
47,COLLINS Ryan,University of Minnesota,usa,2015,1.93,205,18.66849315068493,1,0.0
48,COMPHER J.T.,University of Michigan,usa,2015,1.80,185,19.747945205479454,1,0.0
49,SCHMALTZ Nick,University of North Dakota,usa,2015,1.83,172,18.86849315068493,1,0.0
50,EICHEL Jack,Boston University,usa,2015,1.85,192,18.18904109589041,2,0.0
51,LOUIS Anthony,Miami Ohio University,usa,2015,1.70,161,19.904109589041095,1,0.0
52,WOOD Miles,Noble and Greenough School,usa,2015,1.85,194,19.315068493150687,1,0.0
53,MILANO Sonny,Plymouth Whalers,usa,2015,1.80,185,18.65205479452055,1,0.0
54,MOTTE Tyler,University of Michigan,usa,2015,1.78,185,19.827397260273973,1,0.0
55,HAYDEN John,Yale University,usa,2015,1.91,209,19.893150684931506,1,0.0
56,TUCH Alex,Boston College,usa,2015,1.91,220,18.65753424657534,1,0.0
57,de LEO Chase,Portland Winterhawks,usa,2015,1.78,174,19.2,1,0.0
58,LARKIN Dylan,University of Michigan,usa,2015,1.83,192,18.435616438356163,1,0.0
59,FASCHING Hudson,University of Minnesota,usa,2015,1.88,207,19.443835616438356,2,0.0
60,WERENSKI Zach,University of Michigan,usa,2015,1.88,214,17.465753424657535,1,0.0
